Date,Open,High,Low,Close,Volume
2024-05-17,522.166,522.866,520.694,522.798,59940751
2024-05-20,522.915,524.881,522.52,523.4,38244758
2024-05-21,522.629,524.842,522.423,524.683,33862489
2024-05-22,523.983,524.703,520.97,523.172,49005733
2024-05-23,526.263,526.372,518.127,519.351,57939213
2024-05-24,521.219,523.607,520.26,522.788,41816507
2024-05-28,523.607,523.844,520.487,523.153,36731135
2024-05-29,519.075,520.684,518.769,519.49,45765373
2024-05-30,517.929,518.601,514.78,516.042,47059825
2024-05-31,517.01,520.873,511.847,520.743,91941010
2024-06-03,522.373,522.659,516.033,521.169,47431689
2024-06-04,519.846,522.502,518.364,521.751,35073364
2024-06-05,524.101,527.972,522.082,527.952,48216210
2024-06-06,528.258,528.692,525.987,527.942,31200570
2024-06-07,526.955,530.144,525.843,527.3,43774560
2024-06-10,526.48,529.255,525.877,528.929,36183909
2024-06-11,527.36,530.262,525.365,530.203,36846392
2024-06-12,534.825,537.283,533.512,534.557,64056182
2024-06-13,536.325,536.498,532.811,535.634,45330535
2024-06-14,534.084,535.989,533.067,535.96,40600041
2024-06-17,535.268,541.637,534.803,540.226,56550017
2024-06-18,540.285,541.727,539.86,541.598,41902934
2024-06-20,542.536,543.208,538.33,540.127,71223157
2024-06-21,539.294,540.532,537.926,539.403,65124701
2024-06-24,539.224,541.82,537.53,537.649,45959737
2024-06-25,538.887,540.086,537.352,539.719,38635732
2024-06-26,538.59,541.117,537.936,540.393,38915649
2024-06-27,540.255,541.83,539.502,541.245,35373266
2024-06-28,542.028,545.119,537.857,539.115,76865501
2024-07-01,540.512,540.76,537.431,540.225,40679365
2024-07-02,538.6,543.86,538.55,543.86,40817644
2024-07-03,543.544,546.654,543.504,546.287,33100378
2024-07-05,546.594,549.843,545.95,549.438,41881217
2024-07-08,550.23,551.033,548.992,550.072,36452358
2024-07-09,551.042,551.954,550.31,550.607,27572745
2024-07-10,551.845,556.402,551.548,556.055,39067658
2024-07-11,556.174,557.056,550.617,551.26,53556521
2024-07-12,552.4,558.383,551.924,554.738,53587028
2024-07-15,556.759,559.539,554.381,556.263,40968560
2024-07-16,557.585,559.858,556.828,559.561,36820621
2024-07-17,553.559,555.252,551.389,551.716,57659780
2024-07-18,553.272,554.272,545.267,547.476,56803182
2024-07-19,547.238,548.883,542.771,543.841,66129346
2024-07-22,547.813,550.062,545.851,549.448,43757143
2024-07-23,549.339,551.513,548.086,548.586,34765648
2024-07-24,543.712,544.019,535.222,536.153,75220805
2024-07-25,536.272,542.32,532.409,533.36,61737358
2024-07-26,537.193,542.058,536.412,539.334,54272844
2024-07-29,540.898,541.919,537.629,539.651,39889975
2024-07-30,541.137,542.206,533.465,536.916,47297260
2024-07-31,543.832,548.308,542.444,545.643,66285114
2024-08-01,547.388,549.665,534.37,537.917,77152389
2024-08-02,530.725,531.953,523.642,527.901,83572949
2024-08-05,506.841,518.668,505.484,512.527,147652307
2024-08-06,514.35,524.782,513.013,517.252,85629480
2024-08-07,523.513,526.604,513.193,513.795,71367739
2024-08-08,518.995,526.307,516.945,525.673,63875716
2024-08-09,524.841,529.497,523.602,527.991,46051501
2024-08-12,529.2,530.705,525.97,528.268,42944873
2024-08-13,531.498,537.193,531.25,536.956,52828582
2024-08-14,537.758,539.848,535.054,538.65,42848833
2024-08-15,544.346,548.169,543.732,547.882,61422933
2024-08-16,546.247,549.814,546.09,549.111,44851415
2024-08-19,549.526,554.361,548.665,554.361,39492213
2024-08-20,553.906,555.579,552.098,553.46,34051654
2024-08-21,554.519,556.838,549.526,555.362,41907676
2024-08-22,557.283,557.897,549.775,551.003,56652835
2024-08-23,554.281,557.808,552.063,556.858,51118866
2024-08-26,557.897,558.621,553.807,555.53,36127469
2024-08-27,554.242,556.789,553.083,556.293,33003456
2024-08-28,555.946,556.382,549.833,553.063,41454853
2024-08-29,555.055,558.393,551.954,553.113,39081746
2024-08-30,555.51,558.908,551.914,558.393,63293779
2024-09-03,555.213,555.55,544.356,546.901,61173898
2024-09-04,545.039,549.229,544.306,545.783,47672083
2024-09-05,545.723,548.604,541.968,544.455,44683369
2024-09-06,544.782,546.427,534.38,535.291,69142331
